iter	Passed	Remaining
0	179	179526
1	192	96297
2	207	68797
3	221	55163
4	236	47058
5	250	41461
6	263	37442
7	281	34844
8	299	33021
9	317	31406
10	335	30136
11	349	28795
12	364	27649
13	378	26633
14	394	25930
15	410	25237
16	424	24558
17	439	23984
18	454	23443
19	469	22993
20	483	22544
21	498	22147
22	511	21719
23	523	21277
24	533	20821
25	546	20481
26	558	20123
27	569	19780
28	580	19441
29	592	19152
30	604	18881
31	614	18590
32	626	18351
33	639	18165
34	651	17959
35	662	17730
36	675	17576
37	687	17406
38	698	17212
39	709	17017
40	721	16880
41	734	16749
42	745	16594
43	758	16474
44	769	16340
45	781	16206
46	793	16087
47	806	16005
48	820	15933
49	834	15861
50	846	15759
51	858	15643
52	872	15590
53	887	15546
54	901	15481
55	914	15415
56	927	15341
57	938	15247
58	952	15187
59	964	15110
60	975	15016
61	986	14931
62	998	14848
63	1009	14770
64	1021	14692
65	1034	14645
66	1048	14599
67	1062	14558
68	1077	14536
69	1088	14463
70	1100	14396
71	1112	14343
72	1124	14273
73	1135	14213
74	1147	14155
75	1160	14105
76	1171	14042
77	1182	13979
78	1196	13947
79	1211	13935
80	1224	13887
81	1234	13823
82	1246	13770
83	1259	13737
84	1270	13681
85	1281	13622
86	1292	13568
87	1303	13510
88	1314	13452
89	1325	13398
90	1336	13354
91	1348	13313
92	1361	13282
93	1376	13264
94	1388	13223
95	1398	13169
96	1410	13127
97	1421	13087
98	1432	13035
99	1446	13018
100	1460	12998
101	1472	12968
102	1486	12941
103	1498	12908
104	1510	12878
105	1521	12835
106	1534	12802
107	1544	12760
108	1556	12727
109	1567	12684
110	1578	12642
111	1591	12615
112	1605	12599
113	1616	12560
114	1627	12523
115	1640	12498
116	1651	12465
117	1661	12421
118	1673	12387
119	1685	12359
120	1696	12321
121	1706	12284
122	1718	12250
123	1729	12219
124	1739	12179
125	1751	12151
126	1763	12122
127	1774	12085
128	1786	12059
129	1797	12031
130	1808	11998
131	1819	11966
132	1832	11942
133	1843	11913
134	1854	11881
135	1866	11854
136	1877	11824
137	1887	11790
138	1899	11767
139	1910	11738
140	1921	11709
141	1933	11682
142	1944	11655
143	1956	11628
144	1968	11606
145	1980	11586
146	1994	11572
147	2006	11552
148	2022	11549
149	2034	11528
150	2047	11513
151	2061	11498
152	2072	11475
153	2083	11446
154	2096	11428
155	2111	11421
156	2126	11420
157	2141	11409
158	2153	11389
159	2165	11367
160	2177	11347
161	2189	11327
162	2200	11300
163	2213	11282
164	2224	11258
165	2235	11232
166	2246	11207
167	2259	11187
168	2270	11166
169	2281	11140
170	2293	11120
171	2306	11104
172	2319	11087
173	2331	11065
174	2344	11051
175	2356	11034
176	2369	11017
177	2381	10995
178	2392	10974
179	2406	10964
180	2421	10957
181	2435	10947
182	2446	10921
183	2457	10897
184	2469	10879
185	2480	10855
186	2491	10830
187	2502	10810
188	2514	10791
189	2525	10768
190	2538	10752
191	2551	10738
192	2562	10714
193	2574	10695
194	2586	10678
195	2598	10657
196	2608	10634
197	2621	10618
198	2633	10599
199	2643	10575
200	2655	10554
201	2667	10537
202	2679	10518
203	2689	10495
204	2701	10477
205	2714	10460
206	2724	10437
207	2735	10417
208	2747	10398
209	2758	10375
210	2769	10355
211	2780	10336
212	2794	10323
213	2805	10306
214	2818	10291
215	2830	10275
216	2842	10257
217	2853	10236
218	2864	10216
219	2876	10196
220	2886	10174
221	2898	10157
222	2910	10142
223	2921	10121
224	2933	10103
225	2945	10087
226	2956	10068
227	2967	10047
228	2978	10029
229	2990	10011
230	3001	9990
231	3012	9972
232	3024	9955
233	3034	9934
234	3046	9915
235	3057	9898
236	3068	9878
237	3079	9858
238	3091	9843
239	3102	9823
240	3113	9806
241	3125	9790
